	Drug_use_number	Disease_number_within_Drug_Use	Disease_ratio_within_Drug_Use	p	expected_disease_ratio	odds_ratio	odds_ratio_ci_lower	odds_ratio_ci_higher	disease	drug	corrected_df	upmost_disease_parent	upmost_drug_parent	is_represented_by_children_diseases	is_represented_by_children_drugs
3149	1941	41	0.0211231324059763	0.4257619971870794	36.41012145748988	1.18265843179377	0.8183095495126007	1.7092321201994751	anorecta	A11T1	0.976194453854149	digestiv	A11T1	False	False
3220	1941	17	0.008758371973209686	0.16332051208129975	12.311336032388663	1.6019230769230768	0.8815660872630391	2.9109077373265704	hirschpr	A11T1	0.8368485476144633	digestiv	A11T1	False	False
3335	1941	23	0.01184956208140134	0.6929340995506927	20.955465587044536	1.1385763679271168	0.6996480907962905	1.8528688388568093	diahernia	A11T1	0.9995084634941636	digestiv	A11T1	False	False
3393	1941	94	0.04842864502833591	0.19743090603708868	105.56315789473685	0.8498693762122781	0.6706049146316501	1.0770543741394731	pylosten	A11T1	0.8368485476144633	digestiv	A11T1	False	False
3471	1941	19	0.009788768675940238	0.5654080172382168	16.50242914979757	1.218841642228739	0.7098870263554283	2.0926920674375644	malrotat	A11T1	0.9995084634941636	digestiv	A11T1	False	False
2909	91	13	0.14285714285714285	0.7526574591101723	11.507017543859648	1.1534992784992786	0.6386563139367317	2.0833749803500208	digestiv	B01T1	0.9995084634941636	digestiv	B01T1	False	False
3051	4507	54	0.0119813623252718	0.9582607089799556	54.74089068825911	0.9657534246575342	0.6318095891541776	1.4762037380381654	oesoph	B03BB01T1	0.9995084634941636	digestiv	B03T1	False	False
3104	4507	13	0.0028844020412691373	0.2484175799546353	16.422267206477734	0.5969387755102041	0.28018795597529755	1.2717745146013266	smintest	B03BB01T1	0.8944401570267446	digestiv	B03T1	False	False
3188	4507	84	0.018637674728200576	0.9938049206119602	84.54426450742241	0.983421371755082	0.6977262355268377	1.3860989384961226	anorecta	B03BB01T1	0.9995084634941636	digestiv	B03T1	False	False
3247	4507	22	0.00488129576214777	0.068053250854687	28.586909581646427	0.5646911928651059	0.31779969733422564	1.0033871837330892	hirschpr	B03BB01T1	0.6962191787702605	digestiv	B03T1	False	False
3279	4507	14	0.003106279121366763	0.8341755209939297	13.989338731443993	1.0019536563048692	0.4331209202249455	2.3178541661328795	bileatre	B03BB01T1	0.9995084634941636	digestiv	B03T1	False	False
3316	4507	14	0.003106279121366763	0.2173321095461457	10.948178137651821	2.2582906743823727	0.7426224730135405	6.867388148526172	pananna	B03BB01T1	0.8584565452690827	digestiv	B03T1	False	False
3366	4507	44	0.00976259152429554	0.3382390712744551	48.65856950067477	0.7851470112281226	0.5041686453070819	1.2227175072836585	diahernia	B03BB01T1	0.9385954695450379	digestiv	B03T1	False	False
3442	366	20	0.0546448087431694	0.92367413865757	19.905263157894737	1.0052973935616294	0.6331282318685911	1.5962372212009712	pylosten	B03AT1	0.9995084634941636	digestiv	B03T1	False	False
3444	4507	258	0.05724428666518749	0.1938011815852885	245.11754385964912	1.154939498949043	0.937116616501486	1.4233930150683156	pylosten	B03BB01T1	0.8368485476144633	digestiv	B03T1	False	False
3501	4507	39	0.008653206123807409	0.962503054931436	38.31862348178138	1.0470848254252465	0.6283671593160797	1.7448184797390325	malrotat	B03BB01T1	0.9995084634941636	digestiv	B03T1	False	False
2968	366	47	0.1284153005464481	0.9718158770653316	46.28097165991903	1.0187665105138952	0.7440863767309638	1.394845054823418	digestiv	B03AT1	0.9995084634941636	digestiv	B03T1	False	False
2914	111	12	0.10810810810810813	0.6584968314583183	14.036032388663967	0.8352497952497953	0.4569948596708897	1.5265865812303456	digestiv	C05T1	0.9995084634941636	digestiv	C05T1	False	False
2919	256	32	0.125	0.98036272757813	32.37139001349529	0.9864246250986582	0.6766714647219167	1.4379704062161198	digestiv	D01T1	0.9995084634941636	digestiv	D01T1	False	False
3402	256	12	0.046875	0.6898340454457513	13.92280701754386	0.8506561569745503	0.4722795689980102	1.5321770089143083	pylosten	D01T1	0.9995084634941636	digestiv	D01T1	False	False
2920	174	24	0.13793103448275862	0.72958684503391	22.002429149797567	1.1080832420591458	0.7161864075807612	1.7144258231316003	digestiv	D02T1	0.9995084634941636	digestiv	D02T1	False	False
2924	226	34	0.1504424778761062	0.3170646782409989	28.5778677462888	1.2317391103728312	0.8497063736088327	1.7855359017472738	digestiv	D06T1	0.9289681093061934	digestiv	D06T1	False	False
3406	226	13	0.057522123893805316	0.9504089147277532	12.29122807017544	1.0632237871674493	0.6017832406271822	1.8784916981412387	pylosten	D06T1	0.9995084634941636	digestiv	D06T1	False	False
2925	421	60	0.14251781472684086	0.3442227737483452	53.23576248313089	1.1583179878520642	0.8734562256452992	1.5360822003305592	digestiv	D07T1	0.9400040551857843	digestiv	D07T1	False	False
3407	421	23	0.05463182897862233	0.9300839505697404	22.896491228070172	1.0050714096799789	0.651945071854591	1.549468785280436	pylosten	D07T1	0.9995084634941636	digestiv	D07T1	False	False
2929	460	56	0.1217391304347826	0.8091500330260455	58.16734143049933	0.9548780076645575	0.7157378896583313	1.2739188782595987	digestiv	G01T1	0.9995084634941636	digestiv	G01T1	False	False
3410	460	25	0.05434782608695652	0.9184213480071672	25.017543859649123	0.9992093900139876	0.6590158491515813	1.5150157714378063	pylosten	G01T1	0.9995084634941636	digestiv	G01T1	False	False
2972	517	71	0.13733075435203096	0.4819639581242253	65.37503373819163	1.1079158856243334	0.8539460981758356	1.4374181370941792	digestiv	G03AT1	0.9830327014167999	digestiv	G03T1	False	False
2974	244	33	0.13524590163934427	0.7471433971050202	30.853981106612693	1.0833682841924257	0.7457306672046401	1.5738749803512684	digestiv	G03DT1	0.9995084634941636	digestiv	G03T1	False	False
2975	441	60	0.1360544217687075	0.5810549267715888	55.76477732793522	1.093922552725379	0.8257124001857912	1.4492534580950331	digestiv	G03GT1	0.9995084634941636	digestiv	G03T1	False	False
3026	975	15	0.015384615384615384	0.4043397864923087	11.842105263157894	1.325	0.7579881542784687	2.3161641644270605	oesoph	G03T1	0.9626085627421629	digestiv	G03T1	False	False
3189	517	13	0.025145067698259187	0.3463331104981938	9.698110661268556	1.385282816830436	0.7771097272438026	2.4694176579308413	anorecta	G03AT1	0.9400040551857843	digestiv	G03T1	False	False
3192	441	13	0.029478458049886618	0.12600485457833413	8.27246963562753	1.6495883400089009	0.9243021344670272	2.9439958970368405	anorecta	G03GT1	0.7854886861464955	digestiv	G03T1	False	False
3345	975	15	0.015384615384615384	0.18635505141596076	10.526315789473683	1.53125	0.8698580145062547	2.6955279176578046	diahernia	G03T1	0.8368485476144633	digestiv	G03T1	False	False
3445	517	27	0.052224371373307536	0.9011783101835112	28.117543859649118	0.9550531914893616	0.6394549128010992	1.426412684169542	pylosten	G03AT1	0.9995084634941636	digestiv	G03T1	False	False
3447	441	23	0.05215419501133787	0.9165005824407936	23.98421052631579	0.9540858725761772	0.6192021919173861	1.470084996680524	pylosten	G03GT1	0.9995084634941636	digestiv	G03T1	False	False
2935	138	24	0.17391304347826084	0.11778177207159116	17.450202429149794	1.4663054130397186	0.9390699063478316	2.2895543236726854	digestiv	H03T1	0.7615901031616327	digestiv	H03T1	False	False
3414	138	11	0.07971014492753623	0.25647928631197625	7.5052631578947375	1.5201671219668969	0.814205261936197	2.8382377107386043	pylosten	H03T1	0.9035537121556683	digestiv	H03T1	False	False
2979	162	20	0.12345679012345677	0.9971431856560472	20.48502024291498	0.9723992811832828	0.6058080385506288	1.5608250499745413	digestiv	J01AT1	0.9995084634941636	digestiv	J01T1	False	False
2980	464	70	0.15086206896551724	0.1182882868720822	58.67314439946019	1.2457040146605074	0.9566775967907952	1.6220495779840511	digestiv	J01CT1	0.7615901031616327	digestiv	J01T1	False	False
2981	96	13	0.13541666666666666	0.9112203741598262	12.139271255060727	1.0831638241276795	0.6012234553837994	1.9514273094184984	digestiv	J01ET1	0.9995084634941636	digestiv	J01T1	False	False
2982	118	12	0.1016949152542373	0.49901878280614503	14.921187584345477	0.7792350841407445	0.4272553405059482	1.4211813376909208	digestiv	J01FT1	0.992720774927902	digestiv	J01T1	False	False
3030	973	12	0.012332990750256937	0.9205041107034992	11.817813765182187	1.0180100856479628	0.552289408266453	1.8764519452471315	oesoph	J01T1	0.9995084634941636	digestiv	J01T1	False	False
3167	973	14	0.014388489208633094	0.34149101496395673	18.25195681511471	0.7371678832116788	0.4225367666842274	1.286080954098123	anorecta	J01T1	0.9400040551857843	digestiv	J01T1	False	False
3347	973	13	0.013360739979445016	0.5066245514489387	10.50472334682861	1.287468905472637	0.7080915924686327	2.3409064592619573	diahernia	J01T1	0.9947437591305172	digestiv	J01T1	False	False
3415	973	67	0.06885919835560124	0.039388725884464265	52.917543859649115	1.342790786292442	1.0236629240459334	1.7614070544094131	pylosten	J01T1	0.6962191787702605	digestiv	J01T1	False	False
3450	464	34	0.07327586206896551	0.08054826375962662	25.23508771929825	1.4093275351358163	0.9787699535988076	2.0292859358718416	pylosten	J01CT1	0.7092332127404013	digestiv	J01T1	False	False
2938	69	13	0.18840579710144928	0.16951914957670394	8.725101214574899	1.6121869202226344	0.8783246993574209	2.9592093534867767	digestiv	J02T1	0.8368485476144633	digestiv	J02T1	False	False
2941	170	20	0.1176470588235294	0.8160164719608902	21.496626180836707	0.9193747728098872	0.5736483990503355	1.4734634913625302	digestiv	J07T1	0.9995084634941636	digestiv	J07T1	False	False
2942	142	21	0.14788732394366194	0.5166043685114228	17.956005398110666	1.2035078855245591	0.7533400158893068	1.9226792682849128	digestiv	L02T1	0.9947437591305172	digestiv	L02T1	False	False
2945	524	56	0.1068702290076336	0.18325382668805865	66.26018893387314	0.8156038689523366	0.6127222270730491	1.0856627059666195	digestiv	M01T1	0.8368485476144633	digestiv	M01T1	False	False
3422	524	22	0.04198473282442748	0.2306732656044406	28.498245614035092	0.7482406332674552	0.4822576318294288	1.1609231421567263	pylosten	M01T1	0.8697918793881677	digestiv	M01T1	False	False
2948	313	45	0.14376996805111822	0.3924692661063267	39.57908232118759	1.1680317582491129	0.8452370710837283	1.6141012207726138	digestiv	N01T1	0.9605942524362716	digestiv	N01T1	False	False
3424	313	18	0.057507987220447275	0.903269102342642	17.022807017543858	1.0637552278230245	0.6537650845929782	1.7308590063743028	pylosten	N01T1	0.9995084634941636	digestiv	N01T1	False	False
3063	1479	29	0.0196078431372549	0.005178158322161577	17.963562753036438	1.9245901639344265	1.2323310663622749	3.0057241923204434	oesoph	N02BT1	0.4481453662807834	digestiv	N02T1	False	False
3199	1479	33	0.022312373225152133	0.3082390674048235	27.743724696356274	1.2541102325217257	0.8449341596416177	1.8614379089405089	anorecta	N02BT1	0.9195975295413779	digestiv	N02T1	False	False
3376	1479	16	0.010818120351588913	0.8953698319376134	15.967611336032391	1.0025632262474369	0.5779588504629014	1.7391082804919982	diahernia	N02BT1	0.9995084634941636	digestiv	N02T1	False	False
3454	1479	86	0.0581473968897904	0.5163987862769975	80.43684210526315	1.09335320133792	0.8554179252664539	1.3974703914504916	pylosten	N02BT1	0.9947437591305172	digestiv	N02T1	False	False
3508	1479	12	0.008113590263691683	0.9811862811596068	12.574493927125506	0.9431011668471071	0.501565291057461	1.773328072668561	malrotat	N02BT1	0.9995084634941636	digestiv	N02T1	False	False
2983	68	11	0.16176470588235295	0.4858306651645442	8.598650472334683	1.3371225038839	0.6986494259612794	2.55907544464488	digestiv	N02AT1	0.9830327014167999	digestiv	N02T1	False	False
2951	186	28	0.15053763440860216	0.3738288640366849	23.51983805668016	1.231148431298826	0.8188098129897057	1.8511337258590193	digestiv	N05T1	0.9527931216037009	digestiv	N05T1	False	False
2987	116	19	0.16379310344827586	0.2806270808132899	14.668286099865048	1.3604653774453652	0.8280074475614208	2.2353253568896974	digestiv	N05BT1	0.9172205958955467	digestiv	N05T1	False	False
3427	186	13	0.06989247311827956	0.4349537795576964	10.115789473684213	1.3167630057803468	0.7425717871768012	2.3349457161356826	pylosten	N05T1	0.976194453854149	digestiv	N05T1	False	False
2991	154	21	0.13636363636363635	0.8014038636336311	19.473414304993245	1.092852217880947	0.68617529093406	1.7405551990971941	digestiv	N06ABT1	0.9995084634941636	digestiv	N06T1	False	False
2997	463	44	0.09503239740820736	0.04250225887132943	58.546693657219976	0.7119174058642264	0.5177601124789017	0.9788826534857952	digestiv	R01AT1	0.6962191787702605	digestiv	R01T1	False	False
3208	463	11	0.02375809935205184	0.5208365562641348	8.685155195681512	1.2964774612831858	0.6952498958386351	2.4176254001272333	anorecta	R01AT1	0.9947437591305172	digestiv	R01T1	False	False
3462	463	18	0.038876889848812095	0.15736930192057913	25.18070175438596	0.6894265285276521	0.4256270297052413	1.1167263943900678	pylosten	R01AT1	0.8361043805292558	digestiv	R01T1	False	False
2998	241	37	0.15352697095435686	0.2351198342805896	30.47462887989204	1.2633605664488017	0.8839585813165849	1.805604871758364	digestiv	R03AT1	0.8749733563712372	digestiv	R03T1	False	False
2999	140	17	0.12142857142857146	0.9584151554193756	17.70310391363023	0.9539589961117002	0.5717951965655664	1.5915449652751532	digestiv	R03BT1	0.9995084634941636	digestiv	R03T1	False	False
3209	241	12	0.04979253112033195	0.0007546110107129816	4.5207827260458835	2.905614964068356	1.5845030505489075	5.328231028960929	anorecta	R03AT1	0.3926522694813605	digestiv	R03T1	False	False
2960	166	21	0.12650602409638553	0.9077099857762398	20.99082321187584	1.0005119710886914	0.6298160652814854	1.5893913468917165	digestiv	R05T1	0.9995084634941636	digestiv	R05T1	False	False
2961	633	70	0.11058451816745657	0.2327153787295895	80.04331983805669	0.8475357544543258	0.6545258280262368	1.097461435929263	digestiv	R06T1	0.8715157593110988	digestiv	R06T1	False	False
3182	633	14	0.022116903633491312	0.6184277461476682	11.874089068825912	1.203592891760905	0.6885458392519392	2.1039061838950666	anorecta	R06T1	0.9995084634941636	digestiv	R06T1	False	False
3436	633	24	0.03791469194312797	0.06888362361015325	34.42631578947368	0.6652715858429624	0.43674834459067263	1.0133668241943985	pylosten	R06T1	0.6962191787702605	digestiv	R06T1	False	False
2962	168	24	0.14285714285714285	0.5962498035298958	21.243724696356274	1.1553486673968605	0.7458248975998344	1.7897371722925397	digestiv	S01T1	0.9995084634941636	digestiv	S01T1	False	False
3003	60	11	0.18333333333333326	0.2559117555756873	7.587044534412955	1.5573676554855205	0.8069050633786471	3.005798481666402	digestiv	S01AT1	0.9035537121556683	digestiv	S01T1	False	False
756	1941	13	0.0066975785677485826	0.9807459726656084	12.57327935222672	1.0468583283935982	0.5527122603311315	1.9827900308751512	earfaceneck	A11T1	0.9995084634941636	earanom	A11T1	False	False
783	4507	27	0.0059906811626359	0.6150623748807399	29.195141700404854	0.8271045918367347	0.4667287624324638	1.4657378351230332	earfaceneck	B03BB01T1	0.9995084634941636	earanom	B03T1	False	False
789	1479	15	0.010141987829614604	0.07470366834621682	9.580566801619431	1.8312220566318929	0.9920063884072078	3.380395791683769	earfaceneck	N02BT1	0.6962191787702605	earanom	N02T1	False	False
496	605	13	0.021487603305785124	0.9557971278746924	13.308367071524966	0.974268018018018	0.5493978219391072	1.7277064688435584	eyeanom	A02T1	0.9995084634941636	eyeanom	A02T1	False	False
502	1941	43	0.02215352910870685	0.9717267255411683	42.696761133603246	1.0098656480505797	0.7100303609380831	1.436316928427162	eyeanom	A11T1	0.9995084634941636	eyeanom	A11T1	False	False
665	1941	21	0.010819165378670788	0.6059545411902115	18.597975708502023	1.18540625	0.7101860783165581	1.9786194357258475	cataract	A11T1	0.9995084634941636	eyeanom	A11T1	False	False
540	4507	99	0.021965830929664962	0.9536589927716664	99.14183535762484	0.9962745292649728	0.7249765051498911	1.3690966957017838	eyeanom	B03BB01T1	0.9995084634941636	eyeanom	B03T1	False	False
609	4675	11	0.002352941176470588	0.026011982162734527	6.939946018893387	12.900943396226413	0.7579060269948926	219.59759466823695	glaucoma	B03T1	0.6391567555748952	eyeanom	B03T1	False	False
648	4507	11	0.002440647881073885	0.19449657429323425	14.597570850202427	0.5439022721051191	0.24334158519126106	1.2156971911257812	an_micro	B03BB01T1	0.8368485476144633	eyeanom	B03T1	False	False
691	4507	43	0.009540714444197915	0.9385603283765552	43.18448043184885	0.9890633000512032	0.6130848014165077	1.5956132157378222	cataract	B03BB01T1	0.9995084634941636	eyeanom	B03T1	False	False
513	421	12	0.02850356294536817	0.4436158797536367	9.260863697705805	1.328648456095468	0.7319162202311716	2.4118972514740955	eyeanom	D07T1	0.976194453854149	eyeanom	D07T1	False	False
514	460	11	0.02391304347826087	0.9004156469479605	10.118758434547908	1.0956804595006446	0.5897877227742834	2.0355046790131133	eyeanom	G01T1	0.9995084634941636	eyeanom	G01T1	False	False
542	517	14	0.02707930367504836	0.5083665702321516	11.37260458839406	1.2597702376345952	0.7229691144904248	2.195143637288727	eyeanom	G03AT1	0.9947437591305172	eyeanom	G03T1	False	False
544	441	15	0.034013605442176874	0.10813397438029304	9.700809716599188	1.622811191473163	0.9456608362673018	2.784842157115784	eyeanom	G03GT1	0.7532526370563966	eyeanom	G03T1	False	False
520	973	20	0.02055498458376156	0.8322258723508517	21.40337381916329	0.923693305645037	0.575673253465284	1.4821069378463143	eyeanom	J01T1	0.9995084634941636	eyeanom	J01T1	False	False
525	524	11	0.02099236641221374	0.9934462718540464	11.526585695006748	0.9499589617318148	0.5117869914756366	1.7632766053170508	eyeanom	M01T1	0.9995084634941636	eyeanom	M01T1	False	False
552	1479	31	0.02096010818120352	0.8376545638505706	32.534008097165994	0.9405292566549472	0.6333670337729354	1.3966550758955962	eyeanom	N02BT1	0.9995084634941636	eyeanom	N02T1	False	False
698	1479	11	0.0074374577417173765	0.4254630948596875	14.171255060728743	0.733208446866485	0.38453977980356224	1.3980208415134252	cataract	N02BT1	0.976194453854149	eyeanom	N02T1	False	False
560	463	13	0.028077753779697626	0.4486663513099432	10.184750337381915	1.3090518518518521	0.7368768903218951	2.325512949779432	eyeanom	R01AT1	0.976194453854149	eyeanom	R01T1	False	False
535	633	19	0.030015797788309637	0.19478312466687944	13.924291497975707	1.4253868078175895	0.8771822583396603	2.3161977258250652	eyeanom	R06T1	0.8368485476144633	eyeanom	R06T1	False	False
3617	605	48	0.07933884297520663	0.9194608223006904	49.15114709851552	0.9723570701735056	0.715051206132798	1.3222525377305805	hypospad	A02T1	0.9995084634941636	genital	A02T1	False	False
